image_id,sex,treat,batch,n_nuclei,fallback_n,vol_ratio,lamin_n_gran,lamin_PC_dm,lamin_rot,lamin_zsh,lamin_PC_specific,dapi_n_gran,dapi_PC_dm,dapi_rot,dapi_zsh,dapi_PC_specific
20260622_ccw77_IF_syp1_pgl1_LMN1_HS_herm_08,herm,HS,20260622,808,16,1.112,4477,1.4453,0.9267,1.168,1.2374,4631,1.4485,0.9439,1.1715,1.2364
20260708_ccw77_IF_pgl1_syp3_lmn1_HS_herm_011,herm,HS,20260708,527,41,1.129,3045,1.7895,0.9014,1.3588,1.317,3043,1.7614,0.8844,1.3446,1.31
20260622_ccw77_IF_syp1_pgl1_LMN1_noHS_herm_03,herm,noHS,20260622,478,10,1.098,4979,1.1438,0.8486,1.0454,1.0941,5156,1.1753,0.8594,1.0694,1.099
20260708_ccw77_IF_pgl1_syp3_lmn1_noHS_herm_004,herm,noHS,20260708,960,40,1.207,8176,1.1665,1.0114,1.0529,1.1079,8921,1.1596,1.0417,1.0605,1.0934
20260622_ccw77_IF_syp1_pgl1_LMN1_HS_male_10,male,HS,20260622,522,3,1.028,3750,1.5176,0.8642,1.2804,1.1853,3682,1.5099,0.8706,1.2705,1.1884
20260708_ccw77_IF_pgl1_syp3_lmn1_HS_male_008,male,HS,20260708,564,12,1.084,3220,2.0222,0.9362,1.4042,1.4401,3190,1.9661,0.9301,1.3747,1.4302
20260708_ccw77_IF_pgl1_syp3_lmn1_HS_male_009,male,HS,20260708,785,74,1.169,4168,1.8677,0.9166,1.3927,1.3411,4175,1.8384,0.9079,1.3727,1.3393
20260708_ccw77_IF_pgl1_syp3_lmn1_HS_male_010,male,HS,20260708,634,39,1.173,1935,1.5453,0.7963,1.2128,1.2742,1898,1.5265,0.8227,1.2019,1.2701
20260708_ccw77_IF_pgl1_syp3_lmn1_HS_male_013,male,HS,20260708,291,8,1.023,3564,1.8519,1.2971,1.2988,1.4259,3572,1.8452,1.296,1.296,1.4238
20260708_ccw77_IF_pgl1_syp3_lmn1_noHS_male_001,male,noHS,20260708,424,0,1.02,3084,1.407,0.9872,1.1675,1.2051,3067,1.4257,0.9876,1.1809,1.2073
20260708_ccw77_IF_pgl1_syp3_lmn1_noHS_male_002,male,noHS,20260708,560,78,1.047,3852,1.2953,0.7198,1.166,1.1109,3865,1.3036,0.726,1.1663,1.1177
20260708_ccw77_IF_pgl1_syp3_lmn1_noHS_male_003,male,noHS,20260708,903,177,1.257,4077,1.4501,1.041,1.2518,1.1584,4078,1.4072,1.0599,1.2188,1.1546
20260708_ccw77_IF_pgl1_syp3_lmn1_noHS_male_006,male,noHS,20260708,887,43,1.065,2701,1.4742,0.9082,1.2753,1.156,2703,1.4872,0.9055,1.2883,1.1544
